claim_id,claim_statement,source_id,exact_location,verification_status,reviewer_decision,notes
"R01","De Baets, De Meyer, and Naessens authored A class of rational cardinality-based similarity measures, published in Journal of Computational and Applied Mathematics, 132(1), 51-69, in 2001.","S01","UGent Academic Bibliography record; article metadata","INCONCLUSIVE","Human review required","Bibliographic metadata agrees across institutional and publisher records; full text and mathematical claims remain unverified."
"R02","Bosteels and Kerre authored A triparametric family of cardinality-based fuzzy similarity measures, published in Fuzzy Sets and Systems, 158(22), 2466-2479, in 2007.","S02","ScienceDirect publisher record; article metadata","INCONCLUSIVE","Human review required","Bibliographic metadata and DOI identified; full text, definitions, equations, and property claims remain unverified."
"R03","De Baets, Janssens, and De Meyer authored On the transitivity of a parametric family of cardinality-based similarity measures, published in International Journal of Approximate Reasoning, 50(1), 104-116, in 2009.","S03","Dialnet bibliographic record and abstract; full text unavailable","INCONCLUSIVE","Human review required","Bibliographic metadata and abstract identified; exact definitions, equations, proofs, and theorem conditions remain unverified."
"R04","Deng, Jiang, and Fu authored Monotonic similarity measures between fuzzy sets and their relationship with entropy and inclusion measure, published in Fuzzy Sets and Systems, 287, 97-118, in 2016.","S04","ScienceDirect publisher record; Fuzzy Sets and Systems volume 287, pages 97-118","INCONCLUSIVE","Human review required","DOI 10.1016/j.fss.2015.03.008 identified; similarly titled Information Sciences article is distinct; full text and mathematical claims remain unverified."
"R05","L. A. Zadeh authored Fuzzy Sets, published in Information and Control, 8(3), 338-353, in 1965.","S05","MathNet record; original article pages 338-353","INCONCLUSIVE","Human review required","Bibliographic metadata and abstract verified; exact equations and page-level mathematical claims remain pending."
"R06","Xuecheng Liu authored Entropy, distance measure and similarity measure of fuzzy sets and their relations, published in Fuzzy Sets and Systems, 52(3), 305-318, in 1992.","S06","ScienceDirect publisher record and abstract; article pages 305-318","INCONCLUSIVE","Human review required","Bibliographic metadata, DOI, and axiomatic scope identified; exact definitions, equations, and theorem conditions remain pending."
"R07","Wang, De Baets, and Kerre authored A comparative study of similarity measures, published in Fuzzy Sets and Systems, 73(2), 259-268, in 1995.","S07","UGent Academic Bibliography record; article metadata","INCONCLUSIVE","Human review required","Bibliographic metadata verified; full text, definitions, equations, and comparative conclusions remain pending."
"R08","Amos Tversky authored Features of similarity, published in Psychological Review, 84(4), 327-352, in 1977.","S08","APA DOI metadata and publisher abstract/preview","INCONCLUSIVE","Human review required","Classical non-fuzzy feature-based similarity source; relevance is limited to baseline comparison; fuzzy mathematical claims are not established."
"R05-P339","The formal definition of a fuzzy set in Zadeh (1965) appears on page 339.","S05","Original article, p. 339","HUMAN_APPROVED","Confirmed by Dr. Aslam Javed","Page location confirmed by human inspection; no new formula or theorem claim is introduced."
"R05-D01","For a universe X, Zadeh's fuzzy set A is characterized by a membership function assigning each x in X a real value in [0,1], representing the grade of membership; crisp sets use only 0 and 1.","S05","Original article, p. 339; user-verified page image","ESTABLISHED","Confirmed by Dr. Aslam Javed","Foundational definition verified from the primary-source page image; this is not a candidate similarity formula."
